instância, n, custo_constr, custo_bl, t_constr, t_bl, t_toal
S10, 10, 1645.0, 1645.0, 0.001, 0.011, 0.012
S11, 11, 3756.0, 3756.0, 0.0, 0.016, 0.016
sko42_01_n, 42_1, 14328.0, 14328.0, 0.099, 60.987, 61.086
sko42_02_n, 42_2, 131880.0, 131880.0, 0.101, 66.802, 66.903
sko42_03_n, 42_3, 112424.0, 112424.0, 0.214, 60.424, 60.638
sko42_04_n, 42_4, 83332.0, 83332.0, 0.244, 66.974, 67.218
sko42_05_n, 42_5, 157136.5, 157136.5, 0.238, 64.093, 64.331
sko49_01_n, 49_1, 22762.0, 22762.0, 0.395, 157.553, 157.947
sko49_02_n, 49_2, 263927.5, 263927.5, 0.483, 161.892, 162.376
sko49_03_n, 49_3, 204386.5, 204386.5, 0.213, 154.424, 154.638
sko49_04_n, 49_4, 151359.5, 151359.5, 0.199, 162.746, 162.945
sko49_05_n, 49_5, 406024.5, 406024.5, 0.444, 157.433, 157.877
sko56_01_n, 56_1, 36287.0, 36287.0, 0.695, 343.443, 344.138
sko56_02_n, 56_2, 310155.0, 310155.0, 0.336, 358.531, 358.867
sko56_03_n, 56_3, 105664.5, 105664.5, 0.343, 333.868, 334.21
sko56_04_n, 56_4, 209089.0, 209089.0, 0.724, 350.889, 351.613
sko56_05_n, 56_5, 407572.5, 407572.5, 0.793, 337.995, 338.788
